step,train_loss,val_loss,lr
2050,0.4078,,9.53e-05
2060,0.4071,,9.52e-05
2070,0.4056,,9.51e-05
2080,0.4049,,9.50e-05
2090,0.4040,,9.50e-05
2100,0.4029,,9.49e-05
2110,0.4021,,9.48e-05
2120,0.4010,,9.47e-05
2130,0.4003,,9.46e-05
2140,0.3989,,9.45e-05
2150,0.3979,,9.44e-05
2160,0.3975,,9.44e-05
2170,0.3984,,9.43e-05
2180,0.3976,,9.42e-05
2190,0.3964,,9.41e-05
2200,0.3951,,9.40e-05
2210,0.3949,,9.39e-05
2220,0.3936,,9.38e-05
2230,0.3925,,9.37e-05
2240,0.3914,,9.36e-05
2250,0.3901,,9.35e-05
2260,0.3890,,9.34e-05
2270,0.3879,,9.33e-05
2280,0.3869,,9.32e-05
2290,0.3863,,9.31e-05
2300,0.3855,,9.30e-05
2310,0.3844,,9.30e-05
2320,0.3837,,9.29e-05
2330,0.3827,,9.28e-05
2340,0.3822,,9.27e-05
2350,0.3816,,9.26e-05
2360,0.3805,,9.25e-05
2370,0.3798,,9.23e-05
2380,0.3802,,9.22e-05
2390,0.3791,,9.21e-05
2400,0.3785,,9.20e-05
2410,0.3777,,9.19e-05
2420,0.3765,,9.18e-05
2430,0.3754,,9.17e-05
2440,0.3742,,9.16e-05
2450,0.3738,,9.15e-05
2460,0.3733,,9.14e-05
2470,0.3728,,9.13e-05
2480,0.3722,,9.12e-05
2490,0.3711,,9.11e-05
2500,0.3704,,9.10e-05
2510,0.3703,,9.09e-05
2520,0.3698,,9.08e-05
2530,0.3690,,9.06e-05
2540,0.3680,,9.05e-05
2550,0.3671,,9.04e-05
2560,0.3662,,9.03e-05
2570,0.3652,,9.02e-05
2580,0.3644,,9.01e-05
2590,0.3641,,9.00e-05
2600,0.3632,,8.98e-05
2610,0.3622,,8.97e-05
2620,0.3614,,8.96e-05
2630,0.3607,,8.95e-05
2640,0.3597,,8.94e-05
2650,0.3588,,8.93e-05
2660,0.3580,,8.91e-05
2670,0.3573,,8.90e-05
2680,0.3563,,8.89e-05
2690,0.3556,,8.88e-05
2700,0.3546,,8.87e-05
2710,0.3544,,8.85e-05
2720,0.3538,,8.84e-05
2730,0.3530,,8.83e-05
2740,0.3522,,8.82e-05
2750,0.3512,,8.80e-05
