step,train_loss,val_loss,lr
8740,0.0919,,4.71e-07
8750,0.0918,,4.45e-07
8760,0.0918,,4.20e-07
8770,0.0918,,3.95e-07
8780,0.0918,,3.72e-07
8790,0.0917,,3.49e-07
8800,0.0916,,3.26e-07
8810,0.0916,,3.05e-07
8820,0.0917,,2.84e-07
8830,0.0916,,2.64e-07
8840,0.0915,,2.45e-07
8850,0.0915,,2.26e-07
8860,0.0914,,2.08e-07
8870,0.0914,,1.91e-07
8880,0.0913,,1.75e-07
8890,0.0912,,1.59e-07
8900,0.0912,,1.44e-07
8910,0.0912,,1.30e-07
8920,0.0911,,1.17e-07
8930,0.0911,,1.04e-07
8940,0.0910,,9.18e-08
8950,0.0909,,8.06e-08
8960,0.0909,,7.01e-08
8970,0.0909,,6.03e-08
8980,0.0909,,5.12e-08
8990,0.0908,,4.29e-08
9000,0.0907,,3.53e-08
9000,,0.0758,
9010,0.0907,,2.85e-08
9020,0.0907,,2.24e-08
9030,0.0906,,1.70e-08
9040,0.0905,,1.24e-08
9050,0.0905,,8.48e-09
9060,0.0904,,5.31e-09
9070,0.0904,,2.88e-09
9080,0.0903,,1.19e-09
9090,0.0902,,2.35e-10
